Gait ID; VID_RGB_076; VID_RGB_076; VID_RGB_076; VID_RGB_076; VID_RGB_077; VID_RGB_077; VID_RGB_077; VID_RGB_077; VID_RGB_078; VID_RGB_078; VID_RGB_078; VID_RGB_078; VID_RGB_079; VID_RGB_079; VID_RGB_079; VID_RGB_079; VID_RGB_080; VID_RGB_080; VID_RGB_080; VID_RGB_080; VID_RGB_081; VID_RGB_081; VID_RGB_081; VID_RGB_081; VID_RGB_082; VID_RGB_082; VID_RGB_082; VID_RGB_082; VID_RGB_083; VID_RGB_083; VID_RGB_083; VID_RGB_083
Participant 52;1;5;2;2;;;;;;;;;;;;;;;;;1;1;5;4;;;;;;;;
Participant 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 59;;;;;;;;;1;1;1;5;;;;;;;;;1;5;1;1;1;1;3;4;;;;
Participant 60;;;;;;;;;;;;;1;1;1;4;1;5;1;1;;;;;;;;;;;;
Participant 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 62;;;;;1;4;1;1;;;;;;;;;;;;;;;;;;;;;1;1;5;1
Participant 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 64;4;4;1;1;4;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Participant 65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4
Participant 66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 67;;;;;;;;;;;;;2;1;3;4;;;;;;;;;;;;;;;;
Participant 68;;;;;;;;;;;;;;;;;2;4;2;2;;;;;;;;;;;;
Participant 69;;;;;;;;;3;1;1;5;;;;;;;;;;;;;;;;;;;;
Participant 70;;;;;;;;;;;;;;;;;;;;;3;1;2;4;1;1;3;4;;;;
Participant 71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;5;3
Participant 72;;;;;;;;;1;1;1;5;;;;;;;;;;;;;;;;;;;;
Participant 73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 74;1;5;3;1;;;;;;;;;1;4;5;3;2;4;2;3;;;;;;;;;;;;
Participant 75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 76;;;;;;;;;;;;;;;;;;;;;3;2;2;3;;;;;;;;
Participant 77;;;;;2;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;
Participant 78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 79;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;5;;;;
Participant 80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;3;4
Participant 81;;;;;3;3;3;5;3;3;3;5;;;;;;;;;;;;;;;;;;;;
Participant 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 83;;;;;;;;;;;;;;;;;4;4;5;4;;;;;;;;;;;;
Participant 84;;;;;;;;;;;;;;;;;;;;;2;2;4;2;;;;;;;;
Participant 85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 86;3;4;2;1;;;;;;;;;5;5;4;5;;;;;;;;;;;;;;;;
Participant 87;;;;;;;;;;;;;;;;;;;;;;;;;4;2;1;3;;;;
Participant 88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
